pmid,title,abstract,authors,journal,publication_date,retrieved_with_keyword
34450083,Worldwide trends in hypertension prevalence and progress in treatment and control from 1990 to 2019: a pooled analysis of 1201 population-representative studies with 104 million participants.,"BACKGROUND: Hypertension can be detected at the primary health-care level and low-cost treatments can effectively control hypertension. We aimed to measure the prevalence of hypertension and progress in its detection, treatment, and control from 1990 to 2019 for 200 countries and territories. METHODS: We used data from 1990 to 2019 on people aged 30-79 years from population-representative studies with measurement of blood pressure and data on blood pressure treatment. We defined hypertension as having systolic blood pressure 140 mm Hg or greater, diastolic blood pressure 90 mm Hg or greater, or taking medication for hypertension. We applied a Bayesian hierarchical model to estimate the prevalence of hypertension and the proportion of people with hypertension who had a previous diagnosis (detection), who were taking medication for hypertension (treatment), and whose hypertension was controlled to below 140/90 mm Hg (control). The model allowed for trends over time to be non-linear and to vary by age. FINDINGS: The number of people aged 30-79 years with hypertension doubled from 1990 to 2019, from 331 (95% credible interval 306-359) million women and 317 (292-344) million men in 1990 to 626 (584-668) million women and 652 (604-698) million men in 2019, despite stable global age-standardised prevalence. In 2019, age-standardised hypertension prevalence was lowest in Canada and Peru for both men and women; in Taiwan, South Korea, Japan, and some countries in western Europe including Switzerland, Spain, and the UK for women; and in several low-income and middle-income countries such as Eritrea, Bangladesh, Ethiopia, and Solomon Islands for men. Hypertension prevalence surpassed 50% for women in two countries and men in nine countries, in central and eastern Europe, central Asia, Oceania, and Latin America. Globally, 59% (55-62) of women and 49% (46-52) of men with hypertension reported a previous diagnosis of hypertension in 2019, and 47% (43-51) of women and 38% (35-41) of men were treated. Control rates among people with hypertension in 2019 were 23% (20-27) for women and 18% (16-21) for men. In 2019, treatment and control rates were highest in South Korea, Canada, and Iceland (treatment >70%; control >50%), followed by the USA, Costa Rica, Germany, Portugal, and Taiwan. Treatment rates were less than 25% for women and less than 20% for men in Nepal, Indonesia, and some countries in sub-Saharan Africa and Oceania. Control rates were below 10% for women and men in these countries and for men in some countries in north Africa, central and south Asia, and eastern Europe. Treatment and control rates have improved in most countries since 1990, but we found little change in most countries in sub-Saharan Africa and Oceania. Improvements were largest in high-income countries, central Europe, and some upper-middle-income and recently high-income countries including Costa Rica, Taiwan, Kazakhstan, South Africa, Brazil, Chile, Turkey, and Iran. INTERPRETATION: Improvements in the detection, treatment, and control of hypertension have varied substantially across countries, with some middle-income countries now outperforming most high-income nations. The dual approach of reducing hypertension prevalence through primary prevention and enhancing its treatment and control is achievable not only in high-income countries but also in low-income and middle-income settings. FUNDING: WHO.",No authors listed,Lancet,2021 Sep 11,Hypertension AND Indonesia
28790231,"Inflammation, Immunity, and Hypertension.","The immune system, inflammation and hypertension are related to each other. Innate and adaptive immunity system triggers an inflammatory process, in which blood pressure may increase, stimulating organ damage. Cells in innate immune system produce ROS, such as superoxide and hydrogen peroxide, which aimed at killing pathogens. Long-term inflammation process increases ROS production, causing oxidative stress which leads to endothelial dysfunction. Endothelial function is to regulate blood vessel tone and structure. When inflammation lasts, NO bioavailability decreases, disrupting its main function as vasodilator, so that blood vessels relaxation and vasodilatation are absent. Effector T cells and regulatory lymphocytes, part of the adaptive immune system, plays role in blood vessels constriction in hypertension. Signals from central nervous system and APC activates effector T lymphocyte differentiation and accelerate through Th-1 and Th-17 phenotypes. Th-1 and Th-17 effectors participate in inflammation which leads to increased blood pressure. One part of CD4+ is the regulatory T cells (Tregs) that suppress immune response activation as they produce immunosuppressive cytokines, such as TGF-beta and IL-10. Adoptive transfer of Tregs cells can reduce oxidative stress in blood vessels, endothelial dysfunction, infiltration of aortic macrophages and T cells as well as proinflammatory cytokine levels in plasma circulation.","Agita A, Alsagaff MT",Acta Med Indones,2017 Apr,Hypertension AND Indonesia
34040936,Pulmonary Arterial Hypertension in Indonesia: Current Status and Local Application of International Guidelines.,"Recent advances in the diagnosis and management of pulmonary arterial hypertension (PAH) have led to a significant improvement in the outcomes for patients with PAH. However, prompt and accurate diagnosis of PAH remains an unmet challenge due to lack of awareness and lack of meticulous data to profile the etiology and pathophysiology of this rare progressive disease, especially in low- and middle-income country. In Indonesia, the true prevalence and incidence of different subtypes of PAH in general population is still unknown. The Congenital HeARt Disease in adult and Pulmonary Hypertension (COHARD-PH) registry was the first single-center prospective registry in Indonesia, which indicated that almost 80% of adult patients with congenital heart disease (CHD) had experienced PAH and even Eisenmenger syndrome due to delayed diagnosis. Screening for early detection of asymptomatic CHD in children is yet to be systematically established in Indonesia, leading to undiagnosed and uncorrected CHD in adulthood. There are no specific national guidelines focusing on diagnostic workup and treatment of PAH in Indonesia. Furthermore, the lack of adequate diagnostic facilities, limited treatment availability, and limited drug coverage under the National Health Insurance Scheme are key issues that remain unaddressed. This review focuses on the diagnosis, treatment, and management of PAH associated with CHD in Indonesia as per international guidelines. We have proposed recommendations to effectively control and prevent PAH associated with CHD in Indonesia. The paper should be of interest to readers in the area of medical management and policy makers especially in low- and middle-income countries. KEY HIGHLIGHTS: Pulmonary arterial hypertension (PAH) is a rare progressive subtype of pulmonary hypertension with poor overall prognosis and outcomes.Prompt and accurate diagnosis of PAH remains an unmet challenge in low- and middle-income countries due to poor knowledge about the etiology and pathophysiology of this syndrome. Also, the symptoms and signs of early-stage PAH are usually nonspecific or undetectable in newborn and infants, thus presenting a challenge for physicians to establish early diagnoses of PAH.The challenging factors in low- and middle-income countries, especially Indonesia archipelago are limitations of healthcare infrastructure, limited expertise, lack of awareness, lack of timely PAH screening strategies, poor antenatal care and unpredictable availability of PAH medications.There are no specific national guidelines focusing on diagnostic workup and treatment of PAH in Indonesia. Under-utilization of treatment guidelines and lack of adequate diagnostic treatment facilities have resulted in sub-optimal management of PAH patients in Indonesia.Adherence to international guidelines is an important aspect of PAH management in Indonesia. Updated disease and functional classifications of PAH as per international guidelines along with new research findings on prognostic factors can help in making better management decisions for PAH patients at different stages of the disease.","Dinarti LK, Anggrahini DW, Lilyasari O, Siswanto BB, Hartopo AB",Glob Heart,2021 Apr 20,Hypertension AND Indonesia
31680397,"Asian management of hypertension: Current status, home blood pressure, and specific concerns in Indonesia.","Over one-third of the population in Indonesia has hypertension, almost two-thirds of treated patients have uncontrolled blood pressure (BP), and the majority of patients with hypertension also have comorbidities. Home BP monitoring (HBPM) is a useful tool for diagnosing and managing hypertension. The use of HBPM is recommended by the latest consensus from the Indonesian Society of Hypertension (2019), and nearly, all doctors recommend HBPM for hypertensive patients. However, the use of HBPM in Indonesia is limited by the cost of devices and a perception that these devices are unreliable. In addition, knowledge about proper procedures is lacking. Withdrawal of mercury sphygmomanometers from the end of 2018 is expected to encourage the use of digital sphygmomanometers and the implementation of HBPM. The most common antihypertensive agent used in Indonesia varies by patient age, being angiotensin-converting enzyme (ACE) inhibitors in those aged 40-60 years and calcium channel blockers (CCBs) in older patients. Across all age groups, combination therapy with a CCB plus an angiotensin receptor blocker was common (41%-42% of patients). The high prevalence of hypertension in Indonesia has an important economic impact, and approaches to increase awareness of the disease and adherence to therapy are needed, particularly given data showing the benefits of strict BP control.","Turana Y, Tengkawan J, Soenarta AA",J Clin Hypertens (Greenwich),2020 Mar,Hypertension AND Indonesia
28097354,"Global Burden of Hypertension and Systolic Blood Pressure of at Least 110 to 115 mm Hg, 1990-2015.","IMPORTANCE: Elevated systolic blood (SBP) pressure is a leading global health risk. Quantifying the levels of SBP is important to guide prevention policies and interventions. OBJECTIVE: To estimate the association between SBP of at least 110 to 115 mm Hg and SBP of 140 mm Hg or higher and the burden of different causes of death and disability by age and sex for 195 countries and territories, 1990-2015. DESIGN: A comparative risk assessment of health loss related to SBP. Estimated distribution of SBP was based on 844 studies from 154 countries (published 1980-2015) of 8.69 million participants. Spatiotemporal Gaussian process regression was used to generate estimates of mean SBP and adjusted variance for each age, sex, country, and year. Diseases with sufficient evidence for a causal relationship with high SBP (eg, ischemic heart disease, ischemic stroke, and hemorrhagic stroke) were included in the primary analysis. MAIN OUTCOMES AND MEASURES: Mean SBP level, cause-specific deaths, and health burden related to SBP (>/=110-115 mm Hg and also >/=140 mm Hg) by age, sex, country, and year. RESULTS: Between 1990-2015, the rate of SBP of at least 110 to 115 mm Hg increased from 73 119 (95% uncertainty interval [UI], 67 949-78 241) to 81 373 (95% UI, 76 814-85 770) per 100 000, and SBP of 140 mm Hg or higher increased from 17 307 (95% UI, 17 117-17 492) to 20 526 (95% UI, 20 283-20 746) per 100 000. The estimated annual death rate per 100 000 associated with SBP of at least 110 to 115 mm Hg increased from 135.6 (95% UI, 122.4-148.1) to 145.2 (95% UI 130.3-159.9) and the rate for SBP of 140 mm Hg or higher increased from 97.9 (95% UI, 87.5-108.1) to 106.3 (95% UI, 94.6-118.1). For loss of DALYs associated with systolic blood pressure of 140 mm Hg or higher, the loss increased from 95.9 million (95% uncertainty interval [UI], 87.0-104.9 million) to 143.0 million (95% UI, 130.2-157.0 million) [corrected], and for SBP of 140 mm Hg or higher, the loss increased from 5.2 million (95% UI, 4.6-5.7 million) to 7.8 million (95% UI, 7.0-8.7 million). The largest numbers of SBP-related deaths were caused by ischemic heart disease (4.9 million [95% UI, 4.0-5.7 million]; 54.5%), hemorrhagic stroke (2.0 million [95% UI, 1.6-2.3 million]; 58.3%), and ischemic stroke (1.5 million [95% UI, 1.2-1.8 million]; 50.0%). In 2015, China, India, Russia, Indonesia, and the United States accounted for more than half of the global DALYs related to SBP of at least 110 to 115 mm Hg. CONCLUSIONS AND RELEVANCE: In international surveys, although there is uncertainty in some estimates, the rate of elevated SBP (>/=110-115 and >/=140 mm Hg) increased substantially between 1990 and 2015, and DALYs and deaths associated with elevated SBP also increased. Projections based on this sample suggest that in 2015, an estimated 3.5 billion adults had SBP of at least 110 to 115 mm Hg and 874 million adults had SBP of 140 mm Hg or higher.","Forouzanfar MH, Liu P, Roth GA, Ng M, Biryukov S, Marczak L, Alexander L, Estep K, Hassen Abate K, Akinyemiju TF, Ali R, Alvis-Guzman N, Azzopardi P, Banerjee A, Barnighausen T, Basu A, Bekele T, Bennett DA, Biadgilign S, Catala-Lopez F, Feigin VL, Fernandes JC, Fischer F, Gebru AA, Gona P, Gupta R, Hankey GJ, Jonas JB, Judd SE, Khang YH, Khosravi A, Kim YJ, Kimokoti RW, Kokubo Y, Kolte D, Lopez A, Lotufo PA, Malekzadeh R, Melaku YA, Mensah GA, Misganaw A, Mokdad AH, Moran AE, Nawaz H, Neal B, Ngalesoni FN, Ohkubo T, Pourmalek F, Rafay A, Rai RK, Rojas-Rueda D, Sampson UK, Santos IS, Sawhney M, Schutte AE, Sepanlou SG, Shifa GT, Shiue I, Tedla BA, Thrift AG, Tonelli M, Truelsen T, Tsilimparis N, Ukwaja KN, Uthman OA, Vasankari T, Venketasubramanian N, Vlassov VV, Vos T, Westerman R, Yan LL, Yano Y, Yonemoto N, Zaki ME, Murray CJ",JAMA,2017 Jan 10,Hypertension AND Indonesia
33533536,Applications of artificial intelligence for hypertension management.,"The prevalence of hypertension is increasing along with an aging population, causing millions of premature deaths annually worldwide. Low awareness of blood pressure (BP) elevation and suboptimal hypertension diagnosis serve as the major hurdles in effective hypertension management. The advent of artificial intelligence (AI), however, sheds the light of new strategies for hypertension management, such as remote supports from telemedicine and big data-derived prediction. There is considerable evidence demonstrating the feasibility of AI applications in hypertension management. A foreseeable trend was observed in integrating BP measurements with various wearable sensors and smartphones, so as to permit continuous and convenient monitoring. In the meantime, further investigations are advised to validate the novel prediction and prognostic tools. These revolutionary developments have made a stride toward the future model for digital management of chronic diseases.","Tsoi K, Yiu K, Lee H, Cheng HM, Wang TD, Tay JC, Teo BW, Turana Y, Soenarta AA, Sogunuru GP, Siddique S, Chia YC, Shin J, Chen CH, Wang JG, Kario K",J Clin Hypertens (Greenwich),2021 Mar,Hypertension AND Indonesia
37379565,"Prevalence, Awareness, Treatment, and Control of Hypertension Among Older Adults in the Philippines.","BACKGROUND: Little is known about the current prevalence and management of hypertension among older Filipinos. To address this gap, we examined the prevalence, awareness, treatment, and control of hypertension, as well as their correlates, among older Filipinos. METHODS: We analyzed a nationally representative survey of Filipinos aged 60 years and older (N = 5 985) in the Philippines. Blood pressure (BP) measurements were taken using a digital BP apparatus. People with hypertension included those with a systolic BP >/= 140 mmHg or a diastolic BP >/= 90 mmHg, or those who reported current use of antihypertensive medication. People with undiagnosed hypertension were those who had measured hypertension but had not been diagnosed by a doctor as having hypertension, while people with untreated hypertension were those who had measured hypertension but not taking medication. Among those who were taking antihypertensive medication, respondents with measured hypertension were considered to have uncontrolled BP. RESULTS: Results showed that 69.1% of older Filipinos had hypertension, but only 61.6% of people with hypertension were aware of their hypertension and 51.5% were untreated. Sociodemographic factors, such as age, sex, education, and living arrangements, were significantly associated with hypertension prevalence, hypertension awareness, lack of treatment for hypertension, and/or suboptimal BP control. CONCLUSION: We observed a high prevalence of hypertension among older Filipinos and a relatively low level of awareness and treatment of hypertension among them. While there are government efforts to address the growing prevalence of hypertension in the country, more efforts should be made to bring these government programs to older Filipinos.","Abalos JB, Saito Y, Ramos MA Jr, Cruz GT",J Gerontol A Biol Sci Med Sci,2024 Feb 1,Hypertension AND Indonesia
35795187,The Gut Microbiota (Microbiome) in Cardiovascular Disease and Its Therapeutic Regulation.,"In the last two decades, considerable interest has been shown in understanding the development of the gut microbiota and its internal and external effects on the intestine, as well as the risk factors for cardiovascular diseases (CVDs) such as metabolic syndrome. The intestinal microbiota plays a pivotal role in human health and disease. Recent studies revealed that the gut microbiota can affect the host body. CVDs are a leading cause of morbidity and mortality, and patients favor death over chronic kidney disease. For the function of gut microbiota in the host, molecules have to penetrate the intestinal epithelium or the surface cells of the host. Gut microbiota can utilize trimethylamine, N-oxide, short-chain fatty acids, and primary and secondary bile acid pathways. By affecting these living cells, the gut microbiota can cause heart failure, atherosclerosis, hypertension, myocardial fibrosis, myocardial infarction, and coronary artery disease. Previous studies of the gut microbiota and its relation to stroke pathogenesis and its consequences can provide new therapeutic prospects. This review highlights the interplay between the microbiota and its metabolites and addresses related interventions for the treatment of CVDs.","Rahman MM, Islam F, -Or-Rashid MH, Mamun AA, Rahaman MS, Islam MM, Meem AFK, Sutradhar PR, Mitra S, Mimi AA, Emran TB, Fatimawali, Idroes R, Tallei TE, Ahmed M, Cavalu S",Front Cell Infect Microbiol,2022,Hypertension AND Indonesia
39267069,Work hours and the risk of hypertension: the case of Indonesia.,"BACKGROUND: Individuals working excessive hours is a worldwide phenomenon. In Indonesia, over 32 million people work more than 40 h per week, contributing to around 26% of the workforce. Excessive working may affect health, increasing the risk of cardiovascular diseases such as hypertension. Hypertension affected around 34% of Indonesian adults, approximately 63.3 million people and led to about 427,000 deaths in 2018, and the prevalence remains high at 29.2% in 2023. This study aims to analyze the relationship between work hours and the risk of hypertension among working individuals in Indonesia. METHODS: This study used a pooled cross-sectional data from the Indonesian Family Life Survey (IFLS) wave 4 (2007) and wave 5 (2014) and performed a logit regression analysis to examine the likelihood of a working individual having hypertension based on the individual's work hours. A dummy variable of hypertension is created based on the result of blood pressure measurement. The sample consists of 22,500 working individuals in Indonesia. This study controlled for job characteristics, sociodemographic status and health-behavioral risk factors such as BMI and smoking behavior, and performed additional regression analyses for alternative models to check for robustness. RESULTS: Our findings showed that there is a higher probability of having hypertension for workers who work longer hours by 0.06% points for each additional hour of work (p < 0.01). Other factors such as physical activity and smoking behavior have also been demonstrated to be significantly correlated to the risk of hypertension. CONCLUSIONS: This study revealed a positive relationship between work hours and hypertension. Although this study cannot suggest causality, the strongly significant correlation may provide an idea and an overview regarding the risk of hypertension among working individuals in Indonesia. The Indonesian government could consider conducting further studies to implement and promote flexible working arrangements initiatives and incentive programs to improve workers' health outcomes.","Andini FAD, Siregar AYM",BMC Public Health,2024 Sep 12,Hypertension AND Indonesia
36646819,"Geospatial analysis of type 2 diabetes mellitus and hypertension in South Sulawesi, Indonesia.","The spatial variation of type 2 diabetes mellitus (T2DM) and hypertension and their potential linkage were explored in South Sulawesi Province, Indonesia. The Global Moran's I and regression analysis were utilized to identify the characteristics involved. The methods were performed based on T2DM and hypertension data from 2017 and 2018 acquired from Social Health Insurance Administration in Indonesia. The spatial variation of T2DM and hypertension showed that the prevalence rate of T2DM and hypertension tends to occur randomly (p = 0.678, p = 0.711, respectively). By utilizing Generalized Poisson Regression Analysis, our study showed a significant relationship between T2DM and hypertension (p </= 0.001). This research could help policy makers to plan and support projects with the aim of overcoming the risk of T2DM and hypertension.","Zainuddin AA, Rahim A, Ramadany S, Dharmayani H, Kuswanto H, Kadir RRA, Abdullah AA, Rasyid H",Sci Rep,2023 Jan 16,Hypertension AND Indonesia
