pmid,processed_title,processed_abstract
34450083,worldwide trend in hypertension prevalence and progress in treatment and control from 1990 to 2019 a pooled analysis of 1201 populationrepresentative study with 104 million participant,background hypertension can be detected at the primary healthcare level and lowcost treatment can effectively control hypertension we aimed to measure the prevalence of hypertension and progress in it detection treatment and control from 1990 to 2019 for 200 country and territory method we used data from 1990 to 2019 on people aged 3079 year from populationrepresentative study with measurement of blood pressure and data on blood pressure treatment we defined hypertension a having systolic blood pressure 140 mm hg or greater diastolic blood pressure 90 mm hg or greater or taking medication for hypertension we applied a bayesian hierarchical model to estimate the prevalence of hypertension and the proportion of people with hypertension who had a previous diagnosis detection who were taking medication for hypertension treatment and whose hypertension wa controlled to below 14090 mm hg control the model allowed for trend over time to be nonlinear and to vary by age finding the number of people aged 3079 year with hypertension doubled from 1990 to 2019 from 331 95 credible interval 306359 million woman and 317 292344 million men in 1990 to 626 584668 million woman and 652 604698 million men in 2019 despite stable global agestandardised prevalence in 2019 agestandardised hypertension prevalence wa lowest in canada and peru for both men and woman in taiwan south korea japan and some country in western europe including switzerland spain and the uk for woman and in several lowincome and middleincome country such a eritrea bangladesh ethiopia and solomon island for men hypertension prevalence surpassed 50 for woman in two country and men in nine country in central and eastern europe central asia oceania and latin america globally 59 5562 of woman and 49 4652 of men with hypertension reported a previous diagnosis of hypertension in 2019 and 47 4351 of woman and 38 3541 of men were treated control rate among people with hypertension in 2019 were 23 2027 for woman and 18 1621 for men in 2019 treatment and control rate were highest in south korea canada and iceland treatment 70 control 50 followed by the usa costa rica germany portugal and taiwan treatment rate were less than 25 for woman and less than 20 for men in nepal indonesia and some country in subsaharan africa and oceania control rate were below 10 for woman and men in these country and for men in some country in north africa central and south asia and eastern europe treatment and control rate have improved in most country since 1990 but we found little change in most country in subsaharan africa and oceania improvement were largest in highincome country central europe and some uppermiddleincome and recently highincome country including costa rica taiwan kazakhstan south africa brazil chile turkey and iran interpretation improvement in the detection treatment and control of hypertension have varied substantially across country with some middleincome country now outperforming most highincome nation the dual approach of reducing hypertension prevalence through primary prevention and enhancing it treatment and control is achievable not only in highincome country but also in lowincome and middleincome setting funding who
28790231,inflammation immunity and hypertension,the immune system inflammation and hypertension are related to each other innate and adaptive immunity system trigger an inflammatory process in which blood pressure may increase stimulating organ damage cell in innate immune system produce ro such a superoxide and hydrogen peroxide which aimed at killing pathogen longterm inflammation process increase ro production causing oxidative stress which lead to endothelial dysfunction endothelial function is to regulate blood vessel tone and structure when inflammation last no bioavailability decrease disrupting it main function a vasodilator so that blood vessel relaxation and vasodilatation are absent effector t cell and regulatory lymphocyte part of the adaptive immune system play role in blood vessel constriction in hypertension signal from central nervous system and apc activates effector t lymphocyte differentiation and accelerate through th1 and th17 phenotype th1 and th17 effector participate in inflammation which lead to increased blood pressure one part of cd4 is the regulatory t cell tregs that suppress immune response activation a they produce immunosuppressive cytokine such a tgfbeta and il10 adoptive transfer of tregs cell can reduce oxidative stress in blood vessel endothelial dysfunction infiltration of aortic macrophage and t cell a well a proinflammatory cytokine level in plasma circulation
34040936,pulmonary arterial hypertension in indonesia current status and local application of international guideline,recent advance in the diagnosis and management of pulmonary arterial hypertension pah have led to a significant improvement in the outcome for patient with pah however prompt and accurate diagnosis of pah remains an unmet challenge due to lack of awareness and lack of meticulous data to profile the etiology and pathophysiology of this rare progressive disease especially in low and middleincome country in indonesia the true prevalence and incidence of different subtypes of pah in general population is still unknown the congenital heart disease in adult and pulmonary hypertension cohardph registry wa the first singlecenter prospective registry in indonesia which indicated that almost 80 of adult patient with congenital heart disease chd had experienced pah and even eisenmenger syndrome due to delayed diagnosis screening for early detection of asymptomatic chd in child is yet to be systematically established in indonesia leading to undiagnosed and uncorrected chd in adulthood there are no specific national guideline focusing on diagnostic workup and treatment of pah in indonesia furthermore the lack of adequate diagnostic facility limited treatment availability and limited drug coverage under the national health insurance scheme are key issue that remain unaddressed this review focus on the diagnosis treatment and management of pah associated with chd in indonesia a per international guideline we have proposed recommendation to effectively control and prevent pah associated with chd in indonesia the paper should be of interest to reader in the area of medical management and policy maker especially in low and middleincome country key highlight pulmonary arterial hypertension pah is a rare progressive subtype of pulmonary hypertension with poor overall prognosis and outcomesprompt and accurate diagnosis of pah remains an unmet challenge in low and middleincome country due to poor knowledge about the etiology and pathophysiology of this syndrome also the symptom and sign of earlystage pah are usually nonspecific or undetectable in newborn and infant thus presenting a challenge for physician to establish early diagnosis of pahthe challenging factor in low and middleincome country especially indonesia archipelago are limitation of healthcare infrastructure limited expertise lack of awareness lack of timely pah screening strategy poor antenatal care and unpredictable availability of pah medicationsthere are no specific national guideline focusing on diagnostic workup and treatment of pah in indonesia underutilization of treatment guideline and lack of adequate diagnostic treatment facility have resulted in suboptimal management of pah patient in indonesiaadherence to international guideline is an important aspect of pah management in indonesia updated disease and functional classification of pah a per international guideline along with new research finding on prognostic factor can help in making better management decision for pah patient at different stage of the disease
31680397,asian management of hypertension current status home blood pressure and specific concern in indonesia,over onethird of the population in indonesia ha hypertension almost twothirds of treated patient have uncontrolled blood pressure bp and the majority of patient with hypertension also have comorbidities home bp monitoring hbpm is a useful tool for diagnosing and managing hypertension the use of hbpm is recommended by the latest consensus from the indonesian society of hypertension 2019 and nearly all doctor recommend hbpm for hypertensive patient however the use of hbpm in indonesia is limited by the cost of device and a perception that these device are unreliable in addition knowledge about proper procedure is lacking withdrawal of mercury sphygmomanometer from the end of 2018 is expected to encourage the use of digital sphygmomanometer and the implementation of hbpm the most common antihypertensive agent used in indonesia varies by patient age being angiotensinconverting enzyme ace inhibitor in those aged 4060 year and calcium channel blocker ccbs in older patient across all age group combination therapy with a ccb plus an angiotensin receptor blocker wa common 4142 of patient the high prevalence of hypertension in indonesia ha an important economic impact and approach to increase awareness of the disease and adherence to therapy are needed particularly given data showing the benefit of strict bp control
28097354,global burden of hypertension and systolic blood pressure of at least 110 to 115 mm hg 19902015,importance elevated systolic blood sbp pressure is a leading global health risk quantifying the level of sbp is important to guide prevention policy and intervention objective to estimate the association between sbp of at least 110 to 115 mm hg and sbp of 140 mm hg or higher and the burden of different cause of death and disability by age and sex for 195 country and territory 19902015 design a comparative risk assessment of health loss related to sbp estimated distribution of sbp wa based on 844 study from 154 country published 19802015 of 869 million participant spatiotemporal gaussian process regression wa used to generate estimate of mean sbp and adjusted variance for each age sex country and year disease with sufficient evidence for a causal relationship with high sbp eg ischemic heart disease ischemic stroke and hemorrhagic stroke were included in the primary analysis main outcome and measure mean sbp level causespecific death and health burden related to sbp 110115 mm hg and also 140 mm hg by age sex country and year result between 19902015 the rate of sbp of at least 110 to 115 mm hg increased from 73 119 95 uncertainty interval ui 67 94978 241 to 81 373 95 ui 76 81485 770 per 100 000 and sbp of 140 mm hg or higher increased from 17 307 95 ui 17 11717 492 to 20 526 95 ui 20 28320 746 per 100 000 the estimated annual death rate per 100 000 associated with sbp of at least 110 to 115 mm hg increased from 1356 95 ui 12241481 to 1452 95 ui 13031599 and the rate for sbp of 140 mm hg or higher increased from 979 95 ui 8751081 to 1063 95 ui 9461181 for loss of dalys associated with systolic blood pressure of 140 mm hg or higher the loss increased from 959 million 95 uncertainty interval ui 8701049 million to 1430 million 95 ui 13021570 million corrected and for sbp of 140 mm hg or higher the loss increased from 52 million 95 ui 4657 million to 78 million 95 ui 7087 million the largest number of sbprelated death were caused by ischemic heart disease 49 million 95 ui 4057 million 545 hemorrhagic stroke 20 million 95 ui 1623 million 583 and ischemic stroke 15 million 95 ui 1218 million 500 in 2015 china india russia indonesia and the united state accounted for more than half of the global dalys related to sbp of at least 110 to 115 mm hg conclusion and relevance in international survey although there is uncertainty in some estimate the rate of elevated sbp 110115 and 140 mm hg increased substantially between 1990 and 2015 and dalys and death associated with elevated sbp also increased projection based on this sample suggest that in 2015 an estimated 35 billion adult had sbp of at least 110 to 115 mm hg and 874 million adult had sbp of 140 mm hg or higher
33533536,application of artificial intelligence for hypertension management,the prevalence of hypertension is increasing along with an aging population causing million of premature death annually worldwide low awareness of blood pressure bp elevation and suboptimal hypertension diagnosis serve a the major hurdle in effective hypertension management the advent of artificial intelligence ai however shed the light of new strategy for hypertension management such a remote support from telemedicine and big dataderived prediction there is considerable evidence demonstrating the feasibility of ai application in hypertension management a foreseeable trend wa observed in integrating bp measurement with various wearable sensor and smartphones so a to permit continuous and convenient monitoring in the meantime further investigation are advised to validate the novel prediction and prognostic tool these revolutionary development have made a stride toward the future model for digital management of chronic disease
37379565,prevalence awareness treatment and control of hypertension among older adult in the philippine,background little is known about the current prevalence and management of hypertension among older filipino to address this gap we examined the prevalence awareness treatment and control of hypertension a well a their correlate among older filipino method we analyzed a nationally representative survey of filipino aged 60 year and older n 5 985 in the philippine blood pressure bp measurement were taken using a digital bp apparatus people with hypertension included those with a systolic bp 140 mmhg or a diastolic bp 90 mmhg or those who reported current use of antihypertensive medication people with undiagnosed hypertension were those who had measured hypertension but had not been diagnosed by a doctor a having hypertension while people with untreated hypertension were those who had measured hypertension but not taking medication among those who were taking antihypertensive medication respondent with measured hypertension were considered to have uncontrolled bp result result showed that 691 of older filipino had hypertension but only 616 of people with hypertension were aware of their hypertension and 515 were untreated sociodemographic factor such a age sex education and living arrangement were significantly associated with hypertension prevalence hypertension awareness lack of treatment for hypertension andor suboptimal bp control conclusion we observed a high prevalence of hypertension among older filipino and a relatively low level of awareness and treatment of hypertension among them while there are government effort to address the growing prevalence of hypertension in the country more effort should be made to bring these government program to older filipino
35795187,the gut microbiota microbiome in cardiovascular disease and it therapeutic regulation,in the last two decade considerable interest ha been shown in understanding the development of the gut microbiota and it internal and external effect on the intestine a well a the risk factor for cardiovascular disease cvds such a metabolic syndrome the intestinal microbiota play a pivotal role in human health and disease recent study revealed that the gut microbiota can affect the host body cvds are a leading cause of morbidity and mortality and patient favor death over chronic kidney disease for the function of gut microbiota in the host molecule have to penetrate the intestinal epithelium or the surface cell of the host gut microbiota can utilize trimethylamine noxide shortchain fatty acid and primary and secondary bile acid pathway by affecting these living cell the gut microbiota can cause heart failure atherosclerosis hypertension myocardial fibrosis myocardial infarction and coronary artery disease previous study of the gut microbiota and it relation to stroke pathogenesis and it consequence can provide new therapeutic prospect this review highlight the interplay between the microbiota and it metabolite and address related intervention for the treatment of cvds
39267069,work hour and the risk of hypertension the case of indonesia,background individual working excessive hour is a worldwide phenomenon in indonesia over 32 million people work more than 40 h per week contributing to around 26 of the workforce excessive working may affect health increasing the risk of cardiovascular disease such a hypertension hypertension affected around 34 of indonesian adult approximately 633 million people and led to about 427000 death in 2018 and the prevalence remains high at 292 in 2023 this study aim to analyze the relationship between work hour and the risk of hypertension among working individual in indonesia method this study used a pooled crosssectional data from the indonesian family life survey ifls wave 4 2007 and wave 5 2014 and performed a logit regression analysis to examine the likelihood of a working individual having hypertension based on the individual work hour a dummy variable of hypertension is created based on the result of blood pressure measurement the sample consists of 22500 working individual in indonesia this study controlled for job characteristic sociodemographic status and healthbehavioral risk factor such a bmi and smoking behavior and performed additional regression analysis for alternative model to check for robustness result our finding showed that there is a higher probability of having hypertension for worker who work longer hour by 006 point for each additional hour of work p 001 other factor such a physical activity and smoking behavior have also been demonstrated to be significantly correlated to the risk of hypertension conclusion this study revealed a positive relationship between work hour and hypertension although this study can not suggest causality the strongly significant correlation may provide an idea and an overview regarding the risk of hypertension among working individual in indonesia the indonesian government could consider conducting further study to implement and promote flexible working arrangement initiative and incentive program to improve worker health outcome
36646819,geospatial analysis of type 2 diabetes mellitus and hypertension in south sulawesi indonesia,the spatial variation of type 2 diabetes mellitus t2dm and hypertension and their potential linkage were explored in south sulawesi province indonesia the global morans i and regression analysis were utilized to identify the characteristic involved the method were performed based on t2dm and hypertension data from 2017 and 2018 acquired from social health insurance administration in indonesia the spatial variation of t2dm and hypertension showed that the prevalence rate of t2dm and hypertension tends to occur randomly p 0678 p 0711 respectively by utilizing generalized poisson regression analysis our study showed a significant relationship between t2dm and hypertension p 0001 this research could help policy maker to plan and support project with the aim of overcoming the risk of t2dm and hypertension
